"Type","Amount","Date","People","perPerson"
"PSE","367.39","08/23/2023","6","61.23167"
"PSE","360.7","09/23/2023","6","60.11667"
"water","268.8","09/23/2023","6","44.8"
"garbage","181.72","10/23/2023","6","30.28667"
"PSE","310.85","10/23/2023","6","51.80833"
"PSE","406.94","11/23/2023","6","67.82333"
"water","239.47","11/23/2023","6","39.91167"
"PSE","564.9","12/23/2023","6","94.15"
"garbage","171.87","01/24/2024","6","28.645"
"PSE","484.74","01/24/2024","6","80.79"
"water","135","01/24/2024","6","22.5"
"PSE","527.74","02/24/2024","6","87.95667"
"PSE","486.29","03/24/2024","6","81.04833"
"water","140.9","03/24/2024","6","23.48333"
"garbage","180.78","04/24/2024","6","30.13"
"PSE","470.76","04/24/2024","6","78.46"
"PSE","357.49","05/24/2024","6","59.58167"
"water","123.2","05/24/2024","6","20.53333"
"PSE","388.5","06/24/2024","8","48.5625"
"garbage","177.18","07/24/2024","8","22.1475"
"PSE","340.53","07/24/2024","8","42.56625"
"water","288.8","07/24/2024","6","48.13333"
"PSE","319.83","08/24/2024","6","53.305"
"PSE","340.55","09/24/2024","7","48.65"
"water","311.3","09/24/2024","7","44.47143"
"garbage","186.91","10/24/2024","7","26.70143"
"PSE","312.27","10/24/2024","7","44.61"
"PSE","442.44","11/24/2024","7","63.20571"
"water","166.33","11/24/2024","7","23.76143"
"PSE","612.08","12/24/2024","7","87.44"
"garbage","186.76","01/25/2025","7","26.68"
"PSE","600.89","01/25/2025","7","85.84143"
"water","170.4","01/25/2025","7","24.34286"
"PSE","699.17","02/25/2025","7","99.88143"
"water","166.26","03/25/2025","7","23.75143"
"PSE","622.33","03/25/2025","7","88.90"
"garbage","197.45","04/25/2025","7","28.21"
"PSE","497.56","04/25/2025","7","71.08"
"water","156.61","05/25/2025","7","22.23"
"PSE","374.55","05/25/2025","7","53.50714286"
"PSE","305.87","06/25/2025","4","76.4675"
